## Sp = code name for species / morphospecies,,,,,,,,
## sp.number = a code for the individual within the trial,,,,,,,,
## individual name = a concatenation of the previous two columns, which identifies the individual **within each trial**,,,,,,,,
## trial.name = code from the "trials" dataframe, which matches the trial to information such as the date, temperature etc,,,,,,,,
## Body = length of body (mm).  Present for all individuals,,,,,,,,
## tail = length of tail (mm).  Lept only,,,,,,,,
## date.capture = when did we catch the animal?,,,,,,,,
## time.of.death = how many minutes into the trial the animal finally died.  ,,,,,,,,
## trial.time = a concatenation of "trial.name"."time.of.death"  which gives the time of death within the trial. Used for matching within 'temperatures' to get the temp.,,,,,,,,
Sp,sp.number,individual.name,trial.name,body,tail,date.capture,time.of.death,trial.time
andromache,21,andromache.21,andro.20.apr,9.5,3,14-Apr-2012,26,andro.20.apr.26
andromache,22,andromache.22,andro.20.apr,11,4,14-Apr-2012,23,andro.20.apr.23
andromache,23,andromache.23,andro.20.apr,9,3.5,15-Apr-2012,24,andro.20.apr.24
andromache,24,andromache.24,andro.20.apr,11,4,17-Apr-2012,22,andro.20.apr.22
andromache,25,andromache.25,andro.20.apr,8.5,4,18-Apr-2012,22,andro.20.apr.22
andromache,26,andromache.26,andro.20.apr,14,4.5,19-Apr-2012,24,andro.20.apr.24
andromache,27,andromache.27,andro.20.apr,8,3.5,17-Apr-2012,22,andro.20.apr.22
andromache,28,andromache.28,andro.20.apr,13,3,,24,andro.20.apr.24
andromache,29,andromache.29,andro.20.apr,8.5,4,,24,andro.20.apr.24
andromache,30,andromache.30,andro.20.apr,5.5,1.5,18-Apr-2012,24,andro.20.apr.24
psychodid sp. A,1,psychodid sp. A.1,psychoA.20.apr,21,,15-Apr-2012,21,psychoA.20.apr.21
psychodid sp. A,2,psychodid sp. A.2,psychoA.20.apr,11,,15-Apr-2012,10,psychoA.20.apr.10
psychodid sp. A,3,psychodid sp. A.3,psychoA.20.apr,8,,15-Apr-2012,19,psychoA.20.apr.19
psychodid sp. A,4,psychodid sp. A.4,psychoA.20.apr,7.5,,17-Apr-2012,20,psychoA.20.apr.20
psychodid sp. A,5,psychodid sp. A.5,psychoA.20.apr,9,,19-Apr-2012,21,psychoA.20.apr.21
psychodid sp. A,6,psychodid sp. A.6,psychoA.20.apr,9.5,,19-Apr-2012,21,psychoA.20.apr.21
psychodid sp. A,7,psychodid sp. A.7,psychoA.20.apr,11,,19-Apr-2012,21,psychoA.20.apr.21
tipulid,1,tipulid.1,tip.20.apr,11.5,,14-Apr-2012,20,tip.20.apr.20
tipulid,2,tipulid.2,tip.20.apr,4.5,,15-Apr-2012,22,tip.20.apr.22
tipulid,3,tipulid.3,tip.20.apr,10.5,,14-Apr-2012,20,tip.20.apr.20
tipulid,4,tipulid.4,tip.20.apr,11,,27-Feb-2012,20,tip.20.apr.20
tipulid,5,tipulid.5,tip.20.apr,6,,15-Apr-2012,22,tip.20.apr.22
tipulid,6,tipulid.6,tip.20.apr,8,,18-Apr-2012,24,tip.20.apr.24
Dysticid,10,Dysticid.10,dyst.20.apr,6,,16-Apr-2012,24,dyst.20.apr.24
Dysticid,11,Dysticid.11,dyst.20.apr,5.5,,16-Apr-2012,24,dyst.20.apr.24
Dysticid,12,Dysticid.12,dyst.20.apr,6,,17-Apr-2012,24,dyst.20.apr.24
Dysticid,13,Dysticid.13,dyst.20.apr,5.5,,14-Apr-2012,24,dyst.20.apr.24
Dysticid,14,Dysticid.14,dyst.20.apr,4.5,,16-Apr-2012,24,dyst.20.apr.24
Dysticid,15,Dysticid.15,dyst.20.apr,5.5,,16-Apr-2012,24,dyst.20.apr.24
Dysticid,16,Dysticid.16,dyst.20.apr,4.5,,16-Apr-2012,24,dyst.20.apr.24
